,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,rating,G,Other,PG,PG-13,R,yr_old
3,813.0,164.0,22000.0,23000.0,Christian Bale,27000.0,448130642.0,Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0.0,2701.0,English,USA,PG-13,250000000.0,2012.0,23000.0,8.5,164000,PG-13,0,0,0,1,0,4.0
5,462.0,132.0,475.0,530.0,Samantha Morton,640.0,73058679.0,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1.0,738.0,English,USA,PG-13,263700000.0,2012.0,632.0,6.6,24000,PG-13,0,0,0,1,0,4.0
6,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0.0,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,0,PG-13,0,0,0,1,0,9.0
7,324.0,100.0,15.0,284.0,Donna Murphy,799.0,200807262.0,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1.0,387.0,English,USA,PG,260000000.0,2010.0,553.0,7.8,29000,PG,0,0,1,0,0,6.0
8,635.0,141.0,0.0,19000.0,Robert Downey Jr.,26000.0,458991599.0,Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett Johansson,4.0,1117.0,English,USA,PG-13,250000000.0,2015.0,21000.0,7.5,118000,PG-13,0,0,0,1,0,1.0
10,673.0,183.0,0.0,2000.0,Lauren Cohan,15000.0,330249062.0,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,24450,Alan D. Purwin,0.0,3018.0,English,USA,PG-13,250000000.0,2016.0,4000.0,6.9,197000,PG-13,0,0,0,1,0,0.0
11,434.0,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0.0,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,0,PG-13,0,0,0,1,0,10.0
13,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,5000,PG-13,0,0,0,1,0,10.0
14,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,48000,PG-13,0,0,0,1,0,3.0
15,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,118000,PG-13,0,0,0,1,0,3.0
16,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,0,PG,0,0,1,0,0,8.0
18,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,58000,PG-13,0,0,0,1,0,5.0
19,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,40000,PG-13,0,0,0,1,0,4.0
21,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,56000,PG-13,0,0,0,1,0,4.0
