,Y
5501,0
28857,0
11272,0
8206,0
6362,1
21775,1
20284,0
18980,0
9264,0
13544,0
6813,0
28111,0
4974,0
27278,0
8964,0
29495,0
8532,0
5090,0
14288,0
22804,0
21712,0
197,0
8846,0
9679,0
652,0
23959,0
767,0
26850,1
11072,0
6831,0
17527,0
15738,0
22407,0
14979,1
15603,1
3700,0
19186,0
21551,0
21637,0
26052,0
25364,0
28419,0
6768,1
2884,0
21079,0
5033,0
26867,1
4946,1
11819,0
18489,0
3481,0
9170,0
25900,0
21628,0
26227,0
10235,0
14007,0
23742,1
17484,0
20044,0
9237,0
21133,0
29032,0
17009,0
15345,0
29642,0
18561,0
26313,1
6389,0
12543,0
15639,1
87,1
25126,0
488,0
2423,0
2328,0
15429,0
2969,0
13292,1
6719,0
25296,0
12794,0
24077,0
28211,0
18852,1
11696,0
29903,0
18754,0
9948,0
20440,1
17863,1
10672,0
24214,0
6895,1
11032,1
2766,0
16522,1
24635,0
25318,0
21239,0
20861,0
13430,0
1143,0
22303,0
742,0
29928,0
9359,0
9465,0
28274,0
19724,0
27281,0
10525,1
3844,0
23473,0
22541,0
3218,0
3752,0
26101,0
14158,0
18943,0
15715,0
24271,0
17293,0
28470,0
25003,0
430,0
3119,0
5254,0
19884,0
70,0
5222,1
15509,0
29271,1
10000,0
18882,0
14526,0
7803,1
9983,0
21986,1
12427,0
4924,0
12159,0
26694,0
8902,0
5091,0
27425,1
596,0
20505,1
22905,0
9136,0
9823,0
24957,0
5575,1
2376,1
3351,1
11730,0
11683,0
10602,0
28435,0
24679,0
7472,0
18883,0
28639,0
13821,0
311,0
12598,1
12005,0
3030,0
14336,0
14230,0
1678,0
18594,0
23632,0
21595,0
9816,0
19661,1
8627,0
7769,1
16779,0
27323,0
23402,1
12738,0
14516,0
23853,1
12735,1
11478,1
4728,1
3764,0
28108,0
24510,0
8831,0
23362,1
26411,0
2524,0
8201,0
20994,1
1639,1
4606,0
18684,0
7909,0
25663,0
91,1
10232,0
9959,0
20635,0
23586,0
29764,0
8360,0
17522,0
28289,0
18789,0
25419,1
26949,0
3053,0
24471,0
26255,0
13875,0
13021,1
661,0
26974,0
28765,0
29828,1
1116,0
4126,0
14800,0
12927,0
8827,0
29738,1
27848,0
26676,0
5305,1
17306,0
25935,0
21546,0
20371,1
10162,0
16129,1
2284,0
590,0
29809,1
18802,0
616,0
6204,0
26790,0
913,0
466,1
5327,0
17002,1
16583,1
8307,0
9082,0
4617,0
21839,1
25633,0
26035,1
15002,0
20405,0
1534,0
16645,1
6074,1
5816,1
2270,0
16775,0
23128,0
9204,0
18046,0
7839,0
2092,0
21553,0
27142,0
527,0
23894,0
16027,1
25008,1
27823,0
7383,0
22690,0
3331,0
18309,0
15198,0
19871,0
27401,0
16068,0
9479,0
1556,1
6496,0
29348,0
5132,0
5763,0
23439,0
5371,0
10387,0
25994,0
18599,0
5218,0
5919,0
28884,0
1920,0
19796,0
2137,0
18535,0
8018,0
6899,0
25988,0
29801,0
25649,0
12463,0
8577,0
15893,0
9955,1
27216,0
17729,0
19471,0
17194,1
12070,0
1906,0
24025,1
6772,0
16122,1
17889,0
21905,0
24266,0
25763,0
23508,0
9438,1
21284,0
13847,0
17178,0
18893,1
6289,0
21981,0
26138,0
4850,0
2828,0
29914,0
19715,0
11378,0
4845,0
20438,1
25399,0
18094,0
20202,0
3798,0
5011,0
11488,0
5330,0
28046,0
28584,0
27034,0
2861,1
15353,0
25853,0
82,0
24013,1
3249,0
7372,0
23708,0
17084,0
17030,0
29178,0
9478,1
8678,0
14641,0
24244,0
19524,0
6943,1
21753,0
29033,0
26094,0
19248,0
24525,1
5739,1
12456,0
24980,0
8121,0
3860,1
2777,1
19334,0
13678,0
2134,0
26873,0
481,0
13723,0
23289,0
17144,0
18227,0
22545,1
28173,0
13944,1
16417,0
2407,0
10415,0
22811,0
13283,0
24033,1
603,0
1367,0
21576,0
4947,1
13147,1
18342,0
28350,1
22636,0
22601,1
20826,0
25433,0
26992,0
15309,0
22681,0
8460,1
14322,0
312,0
23357,0
24544,0
12238,0
26860,0
29987,0
13906,0
13620,1
15591,0
7642,0
2280,0
3327,0
9586,0
342,0
20114,1
24878,0
6708,0
19961,1
9073,0
22520,0
21920,1
27269,0
11412,0
24888,0
12730,1
2293,1
2206,0
13672,0
15879,1
15428,1
25152,0
867,0
26706,0
10268,0
20483,0
26210,0
15517,1
9081,1
4711,0
333,0
23483,1
21131,1
27949,0
29229,0
28750,0
11363,0
22323,0
5498,0
16456,0
7502,0
26157,0
5515,0
17989,1
9686,0
7231,0
21833,0
21223,0
6193,0
9198,1
28739,0
23760,1
1913,0
16173,0
5242,0
1079,0
21732,0
10328,0
17385,1
17161,0
27682,0
24375,0
4645,0
18300,0
3079,0
15670,0
25257,0
390,1
26296,0
29825,1
19026,1
5945,0
19706,1
24100,0
669,0
26933,1
4925,1
6106,0
6726,1
28119,1
7524,0
26627,1
15107,0
6860,0
22790,1
15352,0
13410,0
22430,0
3598,0
29473,0
23505,0
29630,0
26566,0
16787,0
20348,0
8451,0
21267,1
3165,0
5544,0
4138,0
2190,0
3203,0
20296,1
12145,0
10648,0
25385,1
10170,0
4565,0
8922,0
16558,0
20391,0
1606,0
25307,0
23564,0
419,0
7557,0
5791,0
19740,1
28638,1
9781,0
15474,0
4755,0
20851,0
7835,0
5142,0
18773,1
24188,0
13436,0
11769,0
27344,0
18207,0
28180,0
5350,1
6991,0
28964,1
27315,1
623,0
13990,0
16551,0
23151,0
25723,0
27228,0
5362,0
15669,0
22820,0
20493,1
4733,0
7149,0
1350,1
26373,0
9366,0
5417,0
26693,1
10118,0
22050,0
7939,0
9083,0
21769,0
26175,0
29009,0
28030,0
15971,1
9742,0
9108,1
21368,0
19841,0
27782,0
17050,1
4818,0
17409,0
24928,0
27413,0
2505,0
8753,1
29785,0
26320,0
4428,0
12061,0
23845,0
376,0
24845,0
14005,0
27356,0
25659,0
5710,0
10891,1
20490,0
21728,0
26114,0
23275,1
3527,0
862,0
17127,0
23948,0
2628,0
22810,0
21359,0
26575,0
2141,0
27115,0
18938,0
8793,0
5881,0
10908,1
19247,0
628,0
3143,0
11228,0
9875,0
10989,1
6313,1
23922,0
13770,0
29901,1
3357,0
905,0
7833,0
9571,0
3065,0
6126,0
12892,0
23104,1
12681,0
7698,0
19802,1
159,1
11535,0
19296,0
13689,0
11877,0
6601,0
10123,0
24062,0
11376,0
12694,0
4786,0
18639,0
3504,1
23288,1
6853,1
16431,0
10344,0
23509,0
9882,0
28071,0
24243,0
21792,0
9240,0
28791,0
11188,0
8285,0
14390,0
25071,0
25741,0
18473,0
18602,0
3754,0
3054,0
28982,0
11443,1
2478,0
4244,0
23524,0
22852,1
23065,0
11287,0
13965,0
14203,0
22111,0
13313,0
14590,0
24611,0
570,0
13855,1
24844,0
23620,1
12729,0
293,0
27820,0
8138,0
16962,1
27924,0
22836,0
28401,0
19071,0
22048,1
5596,0
1830,0
1596,0
23324,0
10092,1
17135,0
22919,0
672,1
2729,0
10789,0
15524,0
17867,1
6178,1
1301,0
26563,0
15673,1
5609,0
23004,0
7623,0
8409,1
6594,0
18780,0
28118,0
19134,0
20313,0
29278,0
24465,0
10291,0
2814,0
77,0
6408,0
18869,1
21999,0
10526,0
16922,0
5360,0
23184,0
25077,0
721,0
21399,1
19443,1
8130,0
28395,0
10696,1
5338,1
12210,0
10087,1
2883,0
12276,0
22490,0
20623,1
12294,0
7014,0
11420,0
2132,0
4459,0
8341,1
20615,1
9480,1
17249,1
23078,0
3127,0
4347,0
16561,0
13542,1
1813,1
29609,1
28831,0
5691,1
20884,1
10089,1
102,0
5065,1
27423,0
15264,0
23218,0
7135,1
26546,0
1354,0
14602,0
28869,0
19455,0
10462,0
28931,0
13408,0
19246,0
9027,0
22793,0
1361,0
15422,1
4918,1
21235,0
18025,1
12676,0
28728,0
1011,0
16843,0
26775,0
2161,0
12060,0
5750,0
24329,0
27703,0
28036,0
3881,0
7352,0
28231,0
29138,0
29815,0
14174,0
15234,0
28547,1
19928,0
23889,0
13682,0
13111,1
9128,0
13506,0
4763,1
10303,0
26642,0
5812,0
15548,0
25587,1
8641,0
10305,0
21521,0
21970,0
25768,1
11901,0
22625,0
4040,0
8208,0
4339,0
11850,0
16965,0
8669,0
4127,0
1267,0
21456,0
7353,0
28944,0
25447,0
24919,0
2545,1
7037,0
21036,0
9419,0
16707,0
8258,0
3909,0
5540,0
27120,1
23168,0
21045,0
28247,0
8755,0
795,0
6924,0
12546,0
12913,1
24103,1
18007,0
21372,0
24756,0
6505,0
7295,0
18903,0
19218,0
18255,0
9469,1
7387,1
12236,1
23424,0
29751,0
18270,0
2474,0
17917,1
7568,0
399,0
4686,0
25799,1
23782,1
6333,1
14885,1
5603,0
28974,1
25023,1
19793,0
25426,0
23051,0
16147,0
24791,0
188,1
25158,0
9980,1
10905,0
4964,0
25648,1
11095,0
2076,0
29076,0
25603,0
23970,0
14262,1
2933,0
497,0
3622,0
21768,0
25497,0
18246,0
16051,0
19785,1
19002,0
20950,0
2747,1
22807,0
16900,0
19032,0
4749,0
2398,0
3771,0
26016,0
4446,0
13146,0
19560,0
22596,0
18998,0
19634,1
28126,0
16067,1
21497,0
9810,0
5155,0
19456,0
2941,0
28377,0
6415,0
29226,0
10675,0
26995,0
29461,0
6698,0
7889,0
9161,0
6990,0
3667,0
26364,0
3689,0
24605,0
160,0
19695,0
17812,0
27453,1
27295,0
